scryfall_id,rarity,released_at,week1_avg_usd,week2_avg_usd,pct_change,oracle_id,played
fbdaca43-a5be-43e3-8dd9-3a5f2cd8f0d0,rare,2024-02-23,10.997142857142858,17.66714285714286,60.65211743309952,06c47664-2b4b-468e-a38d-04b62e6edd67,True
4fedf84e-55ca-4334-a2c1-6e991112bb68,rare,2024-02-23,6.702857142857143,3.051428571428571,-54.47570332480819,7bf8bb41-6f46-492c-b6cf-5cfb29f973a4,True
fb8719b0-69d7-4d43-8d9b-fa268358a9b8,rare,2024-02-23,4.688571428571429,3.2100000000000004,-31.53564899451553,197809b7-1ddb-4329-8d82-7651696538a8,False
e1eb4816-2f33-4800-a9f0-11fec4ac4cd0,mythic,2024-02-23,1.076,0.7328571428571429,-31.89060010621349,4a3acbf7-0699-4d7c-b4fa-aa15c7cde189,False
2f3c0c5a-7d49-4180-837f-d39c1467143a,mythic,2024-02-23,0.7200000000000001,0.6799999999999999,-5.555555555555576,506667b1-7922-4959-a5b3-0f8abe8c3615,True
79611fce-ff17-4de6-8f54-8f3faced9322,rare,2024-02-23,4.97,5.527142857142857,11.210117849956882,09038989-3c1f-4426-a150-e0a9374f34c3,False
daf4bcd2-3ae4-4803-9ea1-3bcc3de5ca59,rare,2024-02-23,2.3057142857142856,1.8385714285714287,-20.260223048327124,5da7eea8-bb9e-47ce-a554-8a1ee058bd7a,True
f6fb576e-a4a4-496b-b553-3f81cc651210,rare,2024-02-23,3.4171428571428573,1.8585714285714288,-45.61036789297658,4bc79fb3-81bb-42ed-9bbb-93f8cede3094,False
251e36f1-1bfd-4c04-8c61-1c2bc18beb8a,rare,2024-02-23,3.127142857142857,0.9085714285714284,-70.94563727729557,01becf76-aa53-4fd5-94c1-665c64674219,False
76cd4e45-30a0-4a24-9612-adeb8fddff23,rare,2024-02-23,4.922857142857143,3.521428571428572,-28.46778874056877,99eb05eb-11ef-456f-9132-166a0691dd04,False
8d4ebe8b-8d2f-4534-994e-e387f23cbe1d,rare,2024-02-23,3.731428571428571,1.5871428571428574,-57.46554364471668,bf30b8ae-0125-4a00-bae8-ac1aa7703a08,True
dc741a80-a0eb-424c-b9a3-4d5875ccb93b,rare,2024-02-23,1.088,0.8057142857142857,-25.945378151260496,acf4d685-a718-42f7-9a7a-dee069ae8db2,True
3892f1c5-937e-4ef4-b6f9-e0c0ded070d0,rare,2024-02-23,1.831428571428572,1.3914285714285712,-24.024960998439955,0230de18-8d15-4cfa-9d42-7ccddd9f9570,True
e911913a-c4a8-4051-9a43-90cf7ad03b91,rare,2024-02-23,4.715714285714286,4.978571428571429,5.574068464101779,4689206f-7907-46fb-82a7-2716687a58fc,False
6f4436d1-7c6a-4ad2-8eba-d5949f960650,mythic,2024-02-23,0.74,0.5185714285714286,-29.922779922779924,afeba4d7-b659-4fb1-84dd-27704fbb2621,True
